ward_id,metro,registered,valid,spoilt,n_vd,turnout,spoilt_rate,winner,winner_share,margin,enp,share_ANC,share_DA,share_EFF,share_ActionSA,tent_share,deprivation_score,pred_turnout,ward_gap_pp,risk_tier,forecast_2026,forecast_lo,forecast_hi,ward_num,top_vds
79800103,Johannesburg,19553,9864,85,5,0.5088,0.0085,DA,0.8075,0.7172,1.5076,0.0903,0.8075,0.037,0.0,0.0,0.3827,0.5762,-6.7339,Medium risk,0.4888,0.4368,0.5408,103,"[{'VotingDistrict': 32850604, 'station': 'SANDTON ART GALLERY', 'station_type': 'Other', 'registered': 1711, 'turnout': 0.3419053185271771, 'tent': 0}, {'VotingDistrict': 32850626, 'station': 'FIELD AND STUDY CENTRE', 'station_type': 'Hall/Centre', 'registered': 2966, 'turnout': 0.5704652730950776, 'tent': 0}, {'VotingDistrict': 32850648, 'station': 'LYCEE FRANCAIS JULES VERNE', 'station_type': 'Other', 'registered': 3986, 'turnout': 0.5358755644756649, 'tent': 0}]"
79800104,Johannesburg,17499,8919,56,5,0.5129,0.0062,DA,0.6472,0.4835,2.1916,0.0909,0.6472,0.0358,0.1637,0.161,0.872,0.5194,-0.6494,Medium risk,0.5089,0.4569,0.5609,104,"[{'VotingDistrict': 32840412, 'station': 'NG KERK FONTAINEBLEAU', 'station_type': 'Church', 'registered': 4017, 'turnout': 0.540453074433657, 'tent': 0}, {'VotingDistrict': 32840434, 'station': 'CITY POWER RANDBURG', 'station_type': 'Other', 'registered': 3366, 'turnout': 0.4667260843731432, 'tent': 0}, {'VotingDistrict': 32840445, 'station': 'FERNDALE HIGH SCHOOL', 'station_type': 'School', 'registered': 2702, 'turnout': 0.500740192450037, 'tent': 0}]"
79800105,Johannesburg,19144,7315,114,6,0.3881,0.0153,ANC,0.5571,0.365,2.674,0.5571,0.0386,0.1541,0.1921,0.2013,0.95,0.389,-0.0941,Medium risk,0.3648,0.3128,0.4168,105,"[{'VotingDistrict': 32850334, 'station': 'ATREC SPORTS COMPLEX', 'station_type': 'Other', 'registered': 2117, 'turnout': 0.3826169107227208, 'tent': 0}, {'VotingDistrict': 32850884, 'station': 'EAST BANK CLINIC', 'station_type': 'Other', 'registered': 1896, 'turnout': 0.4140295358649789, 'tent': 0}, {'VotingDistrict': 32851032, 'station': 'SKEEN PRIMARY SCHOOL', 'station_type': 'School', 'registered': 5079, 'turnout': 0.40696987595983464, 'tent': 0}]"
79800106,Johannesburg,20114,10523,25,4,0.5244,0.0024,DA,0.6506,0.437,2.1063,0.0687,0.6506,0.0274,0.2135,0.0,0.4117,0.5323,-0.7904,Medium risk,0.5051,0.4531,0.5571,106,"[{'VotingDistrict': 32840490, 'station': 'NORSCOT MANOR RECREATION CENTRE', 'station_type': 'Hall/Centre', 'registered': 7172, 'turnout': 0.5312325711098718, 'tent': 0}, {'VotingDistrict': 32850682, 'station': 'CEDARWOODS OF SANDTON', 'station_type': 'Other', 'registered': 2710, 'turnout': 0.5760147601476014, 'tent': 0}, {'VotingDistrict': 32850749, 'station': 'RIVONIA VILLAGE HALL', 'station_type': 'Hall/Centre', 'registered': 6066, 'turnout': 0.49126277612924496, 'tent': 0}]"
79800107,Johannesburg,15589,5795,122,6,0.3796,0.0206,ANC,0.5425,0.3391,2.7792,0.5425,0.0385,0.2035,0.1431,0.0691,0.8944,0.396,-1.6417,Medium risk,0.3609,0.3089,0.4129,107,"[{'VotingDistrict': 32850794, 'station': 'CARTER PRIMARY SCHOOL', 'station_type': 'School', 'registered': 3423, 'turnout': 0.39526730937773885, 'tent': 0}, {'VotingDistrict': 32850806, 'station': ""ST MICHAEL'S CHURCH"", 'station_type': 'Church', 'registered': 2516, 'turnout': 0.37639109697933226, 'tent': 0}, {'VotingDistrict': 32850828, 'station': 'REALOGILE HIGH SCHOOL', 'station_type': 'School', 'registered': 3375, 'turnout': 0.34933333333333333, 'tent': 0}]"
79800108,Johannesburg,14113,4975,62,5,0.3569,0.0123,ANC,0.5897,0.3889,2.4857,0.5897,0.0466,0.2008,0.1037,0.5931,0.95,0.3655,-0.8563,Medium risk,0.3474,0.2954,0.3994,108,"[{'VotingDistrict': 32850693, 'station': 'METHODIST CHURCH OF SOUTH AFRICA', 'station_type': 'Church', 'registered': 1545, 'turnout': 0.3592233009708738, 'tent': 0}, {'VotingDistrict': 32850817, 'station': 'AME CHURCH', 'station_type': 'Church', 'registered': 3167, 'turnout': 0.371960846226713, 'tent': 0}, {'VotingDistrict': 32851065, 'station': 'TENT (VASCO AND 9TH AVENUE)', 'station_type': 'Tent', 'registered': 4593, 'turnout': 0.32375353799259743, 'tent': 1}]"
79800109,Johannesburg,20924,8438,88,7,0.4075,0.0103,DA,0.3822,0.0905,3.6972,0.2917,0.3822,0.1157,0.159,0.0,0.5648,0.4357,-2.8212,Medium risk,0.43,0.378,0.482,109,"[{'VotingDistrict': 32850424, 'station': 'HLAYISANANI DAY CARE CENTRE', 'station_type': 'Hall/Centre', 'registered': 4233, 'turnout': 0.3319158988896764, 'tent': 0}, {'VotingDistrict': 32850592, 'station': 'ERNEST ULLMAN RECREATION CENTRE', 'station_type': 'Hall/Centre', 'registered': 2546, 'turnout': 0.5538098978790259, 'tent': 0}, {'VotingDistrict': 32850671, 'station': 'WENDYWOOD HIGH SCHOOL', 'station_type': 'School', 'registered': 3834, 'turnout': 0.5080855503390714, 'tent': 0}]"
79800110,Johannesburg,15691,3957,52,4,0.2555,0.013,ANC,0.4794,0.2995,3.2846,0.4794,0.1352,0.1799,0.1511,0.3018,0.95,0.3853,-12.9831,High risk,0.2198,0.1678,0.2718,110,"[{'VotingDistrict': 32900093, 'station': 'TENT - MAYIBUYE CLINIC (NEXT TO PRIMARY SCHOOL)', 'station_type': 'Tent', 'registered': 4735, 'turnout': 0.27666314677930304, 'tent': 1}, {'VotingDistrict': 32900273, 'station': 'MAPHUTHA SECONDARY SCHOOL', 'station_type': 'School', 'registered': 3437, 'turnout': 0.31626418388129185, 'tent': 0}, {'VotingDistrict': 32910038, 'station': 'GALLAGHER COMBINED SCHOOL', 'station_type': 'School', 'registered': 3372, 'turnout': 0.32829181494661924, 'tent': 0}]"
79800111,Johannesburg,16300,4949,66,3,0.3077,0.0132,ANC,0.5314,0.3003,2.8148,0.5314,0.0406,0.2312,0.1176,0.0,0.7311,0.3995,-9.1846,High risk,0.3087,0.2567,0.3607,111,"[{'VotingDistrict': 32910049, 'station': 'EBONY PARK PRIMARY SCHOOL', 'station_type': 'School', 'registered': 8237, 'turnout': 0.29695277406822873, 'tent': 0}, {'VotingDistrict': 32910106, 'station': 'UMQHELE SECONDARY SCHOOL', 'station_type': 'School', 'registered': 3802, 'turnout': 0.31641241451867436, 'tent': 0}, {'VotingDistrict': 32910320, 'station': 'PONELOPELE SECONDARY SCHOOL', 'station_type': 'School', 'registered': 4261, 'turnout': 0.32058202299929595, 'tent': 0}]"
79800112,Johannesburg,19568,8728,43,6,0.4482,0.0049,DA,0.3373,0.065,3.9906,0.1963,0.3373,0.1538,0.2723,0.1411,0.9386,0.4184,2.9879,Low risk,0.4106,0.3586,0.4626,112,"[{'VotingDistrict': 32910140, 'station': 'MIDRAND PRIMARY SCHOOL', 'station_type': 'School', 'registered': 4589, 'turnout': 0.43320984964044457, 'tent': 0}, {'VotingDistrict': 32910353, 'station': 'COMMUNITAS CHURCH', 'station_type': 'Church', 'registered': 1584, 'turnout': 0.5738636363636364, 'tent': 0}, {'VotingDistrict': 32910364, 'station': 'MIDRAND HIGH SCHOOL', 'station_type': 'School', 'registered': 4526, 'turnout': 0.4116217410517013, 'tent': 0}]"
